Week,Phase,Task ID,Task,Deliverable,Acceptance Criteria,Owner,Status,Planned Start,Planned End,Actual Start,Actual End,Est Hours,Actual Hours,Blockers,Notes
1,Baseline,W1.1,Read up on osmocom GSM stack and TTCN-3,One-page writeup of components and call flow,Writeup committed under docs/baseline.md,Intern,Completed,2026-05-22,2026-05-22,2026-05-22,2026-05-22,6,4,None,"Reviewed Osmocom architecture, GSM component roles, TTCN-3 workflow, and documented MS → BTS → BSC → MSC → HLR flow."
1,Baseline,W1.2,Get server access; clone existing docker-compose into compose/ as reference,compose/ snapshot in repo,Snapshot matches upstream commit hash noted in README,Intern,Completed,2026-05-22,2026-05-22,2026-05-22,2026-05-22,4,3,None,"Verified server access, Git setup, Docker functionality and explored compose-based telecom stack structure."
1,Baseline,W1.3,Run existing suite end-to-end on target server; capture per-phase wall-clock,Timing breakdown + raw logs,Reproducible from clean clone with one command,Intern,Completed,2026-05-22,2026-05-22,2026-05-22,2026-05-22,8,7,None,"Executed Virtual-Um workflow and TTCN-3 suite; captured startup, attach, teardown and testcase wall-clock observations."
1,Baseline,W1.4,Instrument one short and one long test case with timestamps,Per-phase timestamps for both cases,Numbers committed under results/week01/,Intern,Completed,2026-05-22,2026-05-22,2026-05-22,2026-05-22,6,5,"Campaign execution delays","Collected timing observations for TC_26_2_3 and smoke campaign; infrastructure startup and subscriber registration appeared to dominate runtime."
1,Review,W1.R,Friday demo + baseline.md complete,docs/baseline.md,Mentor sign-off,Intern,Completed,2026-05-22,2026-05-22,2026-05-22,2026-05-22,2,2,None,baseline.md and results/week01/ bundle committed; reproducible from scripts/run-baseline.sh
2,K8s lift,W2.1,Install k3s on target server; verify kubectl,Working single-node k3s,kubectl get nodes returns Ready,Intern,Completed,2026-05-26,2026-05-26,2026-05-26,2026-05-26,4,3,None,k3s installed on cn083; kubectl verified; single-node cluster ready
2,K8s lift,W2.2,Convert each docker-compose service to k8s manifests (kompose + hand-edit),k8s/base/ manifests,All pods reach Ready in one namespace,Intern,Completed,2026-05-26,2026-05-27,2026-05-26,2026-05-27,16,14,None,All osmocom services converted; pods reach Ready in gsm-baseline namespace
2,K8s lift,W2.3,Run TTCN-3 suite as a Job; confirm same results as baseline,scripts/run-one.sh,run-one.sh ns brings up stack; runs suite; tears down,Intern,Completed,2026-05-27,2026-05-28,2026-05-27,2026-05-29,8,6,None,"Fixed ISSUE-001: added wait_mobile_vty to probe port 4247 before test launch; TC_26_2_3 now PASS on k8s matching docker-compose baseline"
2,Review,W2.R,Friday demo: one-namespace run on k3s,Demo + commit,Mentor sign-off,Intern,Planned,,,,,2,,,
3,Parameterize,W3.1,Wrap k8s/base/ in a Helm chart (or kustomize),k8s/chart/,helm install works against an empty namespace,Intern,Planned,,,,,8,,,
3,Parameterize,W3.2,Verify two namespaces run simultaneously without cross-talk,Isolation test notes,No shared state observed; both suites pass,Intern,Planned,,,,,6,,,
3,Parameterize,W3.3,Write scripts/run-n.sh to spin up N namespaces in parallel,scripts/run-n.sh,run-n.sh 4 produces 4 clean result bundles,Intern,Planned,,,,,8,,,
3,Review,W3.R,Friday demo: N=4 parallel run,Demo + commit,Mentor sign-off,Intern,Planned,,,,,2,,,
4,Measure,W4.1,Implement measurement harness per docs/metrics.md,events.csv + host-samples.csv + summary.json per run,All required fields populated; schema documented,Intern,Planned,,,,,10,,,
4,Measure,W4.2,Round-robin test sharding; record per-test durations,Sharding script + per-test CSV,Same tests assigned deterministically given N,Intern,Planned,,,,,6,,,
